City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,henties bay,-22.116,14.2845,73.85,70,59,7.81,NA,1643734561
342,skhisma,35.2667,25.7167,58.84,75,100,17.31,GR,1643734561
343,kaeo,-35.1,173.7833,70.32,90,100,13.35,NZ,1643734561
344,kuching,1.55,110.3333,80.82,89,40,2.3,MY,1643734562
345,clarence town,-32.5833,151.7833,76.33,88,100,5.91,AU,1643734327
346,esperance,-33.8667,121.9,60.64,65,64,16.28,AU,1643734562
347,sirjan,29.452,55.6814,49.19,68,40,5.46,IR,1643734562
348,bonnyville,54.2668,-110.735,-17.77,96,49,7.76,CA,1643734563
349,airai,-8.9266,125.4092,60.73,85,83,3.53,TL,1643734563
350,sur,22.5667,59.5289,74.34,68,0,6.46,OM,1643734564
351,el tarra,8.5756,-73.0949,87.12,48,58,3.76,CO,1643734564
352,jardim,-21.4803,-56.1381,94.77,36,30,4.36,BR,1643734564
353,barinas,8.6226,-70.2075,87.49,48,96,11.5,VE,1643734564
354,meulaboh,4.1363,96.1285,78.06,80,62,0.78,ID,1643734565
355,sept-iles,50.2001,-66.3821,3.06,54,20,3.0,CA,1643734565
356,lavrentiya,65.5833,-171.0,3.74,68,16,20.13,RU,1643734527
357,ipixuna,-1.7625,-48.8043,87.75,57,76,3.78,BR,1643734565
358,yantongshan,43.2919,126.0094,-1.59,91,11,5.21,CN,1643734566
359,tavricheskoye,54.5851,73.6395,21.11,100,99,5.19,RU,1643734566
360,lamar,33.6668,-95.5836,61.52,100,100,9.22,US,1643734566
361,viedma,-40.8135,-62.9967,79.34,29,42,13.62,AR,1643734627
362,boralday,43.3578,76.8594,26.46,86,100,4.47,KZ,1643734627
363,tamiahua,21.2667,-97.45,74.43,68,41,3.27,MX,1643734627
364,soyo,-6.1349,12.3689,84.25,81,32,12.91,AO,1643734628
